sz,mean,median
3,52.401081,52.38865
4,50.242506,50.20485
5,50.220363,50.2202
6,50.222597,50.21045
7,49.5142175,49.5005
8,47.9153845,47.908125
9,47.927962,47.9222
10,47.9189175,47.90405
11,47.890062,47.90135
12,47.943092,47.937275
13,47.895145,47.889575
14,47.9615175,47.948275
15,46.9040115,46.919225
16,46.3787355,46.369325
17,46.395778,46.387825
18,46.3935945,46.3859
19,46.3898425,46.38355
20,46.381286,46.375625
21,46.3953575,46.384025
22,46.4643925,46.466575
23,46.3918885,46.38235
24,46.3586855,46.35705
25,46.3941,46.384225
26,46.3709745,46.36885
27,46.4501225,46.450625
28,46.395657,46.392175
29,46.384341,46.38165
30,46.670018,46.663875
31,46.6908795,46.686125
32,46.688969,46.6827
33,46.6996125,46.6928
34,46.702856,46.69105
35,46.691458,46.6862
36,46.7942505,46.805675
37,46.797192,46.81055
38,46.665407,46.6593
39,46.69033,46.6824
40,46.727526,46.7094
41,46.7065895,46.688825
42,46.6864735,46.6777
43,46.670517,46.669775
44,46.6854025,46.6823
45,46.676446,46.6725
46,46.67894,46.670925
47,46.690275,46.68515
48,46.774585,46.790575
49,46.691895,46.688
50,46.820557,46.8126
51,46.696639,46.684175
52,46.7071545,46.67715
53,46.6900605,46.6832
54,46.7095875,46.70005
55,46.6860245,46.68325
56,46.7021265,46.697125
57,46.690523,46.6844
58,46.738871,46.709775
59,46.71444,46.708025
60,46.6718315,46.66105
61,50.48902,50.47875
62,50.60167,50.594
63,50.762136,50.75665
64,50.592881,50.58175
65,50.654094,50.645
66,50.605555,50.59295
67,50.598194,50.5914
68,50.602142,50.59055
69,50.592279,50.5815
70,50.582708,50.5768
71,50.602792,50.58805
72,50.599966,50.5906
73,50.603386,50.5837
74,50.599646,50.5929
75,50.607887,50.59995
76,50.658217,50.6398
77,50.61436,50.6048
78,50.688313,50.65935
79,50.63761,50.59685
80,50.596988,50.58555
81,50.612115,50.6055
82,50.599575,50.5918
83,50.612107,50.5881
84,50.784435,50.75625
85,50.63677,50.6068
86,50.610881,50.5823
87,50.596956,50.58635
88,50.608647,50.58055
89,50.614399,50.5893
90,50.611036,50.60135
91,50.602267,50.59285
92,50.609723,50.5938
93,50.600319,50.58755
94,50.730891,50.73805
95,50.60139,50.5918
96,50.620558,50.60165
97,50.654386,50.6438
98,50.610204,50.5952
99,50.603343,50.59635
100,50.594375,50.58655
101,50.602444,50.59455
102,50.603385,50.59845
103,50.626971,50.6175
104,50.644326,50.64055
105,50.594794,50.59
106,50.612771,50.59135
107,50.593961,50.57705
108,50.61707,50.6056
109,50.579516,50.5692
110,50.638289,50.63905
111,50.600403,50.5922
112,50.780073,50.75985
113,50.581275,50.5711
114,50.624669,50.60335
115,50.703421,50.6732
116,50.625592,50.6119
117,50.651468,50.6329
118,50.608966,50.6028
119,50.605737,50.58585
120,50.615193,50.60335
121,50.627179,50.6141
122,60.598455,60.58925
123,61.488844,61.43765
124,61.345294,61.33665
125,61.366527,61.3554
126,61.366477,61.33855
127,61.487153,61.45305
128,61.350773,61.34315
