sz,mean,median,mean (ms),median (ms)
162,130140582,130964750,130.140582,130.96475
163,129723511,130866400,129.723511,130.8664
164,129873620,130935200,129.87362,130.9352
165,130036013,130901400,130.036013,130.9014
166,130485432,130973850,130.485432,130.97385
167,130017535,130969250,130.017535,130.96925
168,129995305,130913200,129.995305,130.9132
169,130199782,130978300,130.199782,130.9783
170,129665453,130877650,129.665453,130.87765
171,128314198,128271350,128.314198,128.27135
172,129693189,130795650,129.693189,130.79565
173,130008216,130986300,130.008216,130.9863
174,129821423,130903250,129.821423,130.90325
175,129405736,130660950,129.405736,130.66095
176,130034063,130893300,130.034063,130.8933
177,128015559,127239150,128.015559,127.23915
178,129898243,130946150,129.898243,130.94615
179,129980373,130921450,129.980373,130.92145
180,129369646,130371850,129.369646,130.37185
181,129571022,130945800,129.571022,130.9458
182,127934427,127006400,127.934427,127.0064
183,129754467,130894850,129.754467,130.89485
184,130305967,130955100,130.305967,130.9551
185,127758513,126413850,127.758513,126.41385
186,129695761,130823750,129.695761,130.82375
187,129863081,130928900,129.863081,130.9289
188,129944763,130906850,129.944763,130.90685
189,127721976,125820550,127.721976,125.82055
190,130099412,130953200,130.099412,130.9532
191,129946739,130977050,129.946739,130.97705
192,129433407,130697800,129.433407,130.6978
193,130427401,130999600,130.427401,130.9996
194,128023395,127209200,128.023395,127.2092
195,130056390,130972250,130.05639,130.97225
196,129981825,130938550,129.981825,130.93855
197,128603285,129128400,128.603285,129.1284
198,129691132,130922950,129.691132,130.92295
199,129938215,130945000,129.938215,130.945
200,126787362,125966000,126.787362,125.966
201,129862780,130875150,129.86278,130.87515
202,130117490,130976850,130.11749,130.97685
203,130229964,130977950,130.229964,130.97795
204,129992086,130951400,129.992086,130.9514
205,130290256,130968400,130.290256,130.9684
206,130226515,130965550,130.226515,130.96555
207,129733962,130882050,129.733962,130.88205
208,130049794,130949850,130.049794,130.94985
209,129913592,130952150,129.913592,130.95215
210,128299292,127630150,128.299292,127.63015
211,129818140,130862550,129.81814,130.86255
212,129685710,130890000,129.68571,130.89
213,130080400,130939050,130.0804,130.93905
214,129983758,130938950,129.983758,130.93895
215,125684597,125550800,125.684597,125.5508
216,129760436,130900500,129.760436,130.9005
217,127814838,127000300,127.814838,127.0003
218,127720096,126307150,127.720096,126.30715
219,130080009,130929650,130.080009,130.92965
220,129928928,130911800,129.928928,130.9118
221,129831771,130870850,129.831771,130.87085
222,127867484,126181450,127.867484,126.18145
223,129757024,130952150,129.757024,130.95215
224,128317613,127935950,128.317613,127.93595
225,129742300,130879450,129.7423,130.87945
226,129767418,130835100,129.767418,130.8351
227,129673864,130865050,129.673864,130.86505
228,129830582,130892850,129.830582,130.89285
229,126218099,125823750,126.218099,125.82375
230,128884883,129662200,128.884883,129.6622
231,129712663,130927150,129.712663,130.92715
232,129765774,130899750,129.765774,130.89975
233,130262316,130944350,130.262316,130.94435
234,130270274,130978900,130.270274,130.9789
235,130060074,130900250,130.060074,130.90025
236,130477236,130979950,130.477236,130.97995
237,129830109,130805800,129.830109,130.8058
238,129978582,130874550,129.978582,130.87455
239,130282506,130996400,130.282506,130.9964
240,130152120,130918350,130.15212,130.91835
241,129188909,130821000,129.188909,130.821
242,129930188,130890000,129.930188,130.89
243,130169331,130981650,130.169331,130.98165
244,170870260,170622600,170.87026,170.6226
245,177324040,177087650,177.32404,177.08765
246,177550288,177624000,177.550288,177.624
247,177331960,177219450,177.33196,177.21945
248,177275825,176922000,177.275825,176.922
249,176418056,175981850,176.418056,175.98185
250,177623105,177595700,177.623105,177.5957
251,177422299,177161200,177.422299,177.1612
252,177603332,177717900,177.603332,177.7179
253,177111667,176939150,177.111667,176.93915
254,177606823,177575500,177.606823,177.5755
255,177289993,176779150,177.289993,176.77915
256,177235818,176962850,177.235818,176.96285
257,177456625,177290900,177.456625,177.2909
258,176956441,176525800,176.956441,176.5258
259,177201584,176861350,177.201584,176.86135
260,177317985,176962750,177.317985,176.96275
261,175829480,175068600,175.82948,175.0686
262,176756797,176321800,176.756797,176.3218
263,176930370,176501800,176.93037,176.5018
264,175711869,174746700,175.711869,174.7467
265,177357240,176987500,177.35724,176.9875
266,176977011,176663150,176.977011,176.66315
267,176931286,176412600,176.931286,176.4126
268,177349510,176900000,177.34951,176.9
269,175988495,175550850,175.988495,175.55085
270,177331981,176958850,177.331981,176.95885
271,176979270,176500100,176.97927,176.5001
272,177179458,177029700,177.179458,177.0297
273,177321535,177190900,177.321535,177.1909
274,177037742,176895700,177.037742,176.8957
275,177116503,176827400,177.116503,176.8274
276,177026849,176298700,177.026849,176.2987
277,177303579,177091400,177.303579,177.0914
278,176676175,176124050,176.676175,176.12405
279,177581472,177351400,177.581472,177.3514
280,177037315,176984550,177.037315,176.98455
281,177050324,176466150,177.050324,176.46615
282,177157012,176880350,177.157012,176.88035
283,177524446,177313150,177.524446,177.31315
284,177325535,177092100,177.325535,177.0921
285,177317247,177097800,177.317247,177.0978
286,177235053,176874800,177.235053,176.8748
287,176997550,176593100,176.99755,176.5931
288,177530498,177195500,177.530498,177.1955
289,177456563,177421700,177.456563,177.4217
290,177111962,176613450,177.111962,176.61345
291,177052868,176341350,177.052868,176.34135
292,175388854,174936350,175.388854,174.93635
293,176485007,175979450,176.485007,175.97945
294,177589332,177506150,177.589332,177.50615
295,177050962,176616000,177.050962,176.616
296,176864999,176354100,176.864999,176.3541
297,177564466,177558850,177.564466,177.55885
298,177197598,176858650,177.197598,176.85865
299,177307661,177082850,177.307661,177.08285
300,176183803,175567350,176.183803,175.56735
301,177017659,176628000,177.017659,176.628
302,177383942,177188550,177.383942,177.18855
303,176495995,176035100,176.495995,176.0351
304,177170339,176888200,177.170339,176.8882
305,176721371,176366550,176.721371,176.36655
306,177225452,176764750,177.225452,176.76475
307,176961576,176503650,176.961576,176.50365
308,177410198,177057650,177.410198,177.05765
309,176352042,175969700,176.352042,175.9697
310,176912023,176371200,176.912023,176.3712
311,177630254,177524250,177.630254,177.52425
312,176967071,176568550,176.967071,176.56855
313,176974387,176586950,176.974387,176.58695
314,176933587,176642650,176.933587,176.64265
315,177439321,177274350,177.439321,177.27435
316,175400926,174889250,175.400926,174.88925
317,175868397,175417900,175.868397,175.4179
318,176968905,176924650,176.968905,176.92465
319,177118391,176841500,177.118391,176.8415
320,177059768,176856000,177.059768,176.856
321,177147876,176976400,177.147876,176.9764
322,175090608,174559250,175.090608,174.55925
323,176685746,176080700,176.685746,176.0807
324,177172470,176992700,177.17247,176.9927
325,176929069,176772900,176.929069,176.7729
326,177347745,177198900,177.347745,177.1989
327,177347401,177060600,177.347401,177.0606
328,177155873,176985100,177.155873,176.9851
329,176653483,176097700,176.653483,176.0977
330,177310293,177143600,177.310293,177.1436
331,176801598,176372950,176.801598,176.37295
332,176648537,176168750,176.648537,176.16875
333,177512533,177156750,177.512533,177.15675
334,177572313,177293500,177.572313,177.2935
335,176826208,176215500,176.826208,176.2155
336,177531867,177474950,177.531867,177.47495
337,177077853,176785100,177.077853,176.7851
338,175597198,175002000,175.597198,175.002
339,176881806,176473850,176.881806,176.47385
340,177465821,177311450,177.465821,177.31145
341,177118721,176737850,177.118721,176.73785
342,177437414,177401950,177.437414,177.40195
343,177332766,177314900,177.332766,177.3149
344,177297015,176980550,177.297015,176.98055
345,177314313,176996300,177.314313,176.9963
346,177013941,176605150,177.013941,176.60515
347,177362531,176814950,177.362531,176.81495
348,177244260,176871950,177.24426,176.87195
349,177098124,176583800,177.098124,176.5838
350,177655765,177458100,177.655765,177.4581
351,177203972,176956800,177.203972,176.9568
352,177034820,176511550,177.03482,176.51155
353,177210480,176827800,177.21048,176.8278
354,177352804,177290350,177.352804,177.29035
355,175019185,174925450,175.019185,174.92545
356,177358758,177059100,177.358758,177.0591
357,177298234,176915950,177.298234,176.91595
358,177434521,177260600,177.434521,177.2606
359,176956780,176769950,176.95678,176.76995
